ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
22031,HY382200,8/14/15,001XX W VAN BUREN ST,110,HOMICIDE,FIRST DEGREE MURDER,OFFICE,FALSE,TRUE,122,1,2,32,01A,1174896,1898494,2015,8/24/15 15:30,41.87685661,-87.63329606,"(41.876856607, -87.633296057)"
22030,HY380866,8/13/15,046XX S WESTERN AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,TRUE,FALSE,922,9,12,58,01A,1161154,1873630,2015,8/20/15 16:17,41.80892361,-87.68444211,"(41.808923611, -87.684442113)"
22029,HY380282,8/13/15,002XX W 93RD PL,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,FALSE,FALSE,634,6,21,49,01A,1176164,1843150,2015,8/20/15 16:17,41.72495887,-87.63030241,"(41.724958867, -87.630302412)"
10192719,HY380084,8/12/15,060XX W FULLERTON AVE,142,HOMICIDE,RECKLESS HOMICIDE,STREET,FALSE,FALSE,2512,25,29,19,01B,1135557,1915314,2015,8/19/15 15:57,41.92380245,-87.77733814,"(41.923802451, -87.777338138)"
22028,HY378773,8/11/15,007XX E 131ST ST,110,HOMICIDE,FIRST DEGREE MURDER,CHA PARKING LOT,FALSE,FALSE,533,5,9,54,01A,1183788,1818527,2015,8/19/15 15:57,41.65721583,-87.60314042,"(41.657215827, -87.603140417)"
22027,HY374842,8/10/15,012XX S ST LOUIS AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1021,10,24,29,01A,1153240,1893884,2015,8/17/15 15:03,41.86466343,-87.71293275,"(41.864663432, -87.712932753)"
22026,HY375951,8/9/15,015XX S KILDARE AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1012,10,24,29,01A,1147971,1892066,2015,8/17/15 15:03,41.85977748,-87.73232212,"(41.859777475, -87.732322122)"
22023,HY373507,8/7/15,064XX S JUSTINE ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,725,7,17,67,01A,1167110,1862121,2015,8/17/15 15:03,41.77721606,-87.66292586,"(41.777216063, -87.662925863)"
22022,HY372265,8/7/15,001XX E 117TH ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,532,5,9,53,01A,1179244,1827364,2015,8/17/15 15:03,41.68157034,-87.6194997,"(41.68157034, -87.619499704)"
22021,HY371882,8/6/15,109XX S PARNELL AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,2233,22,34,49,01A,1174576,1832444,2015,8/17/15 15:03,41.69561551,-87.63643664,"(41.695615506, -87.636436642)"
22020,HY371882,8/6/15,109XX S PARNELL AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,2233,22,34,49,01A,1174576,1832444,2015,8/17/15 15:03,41.69561551,-87.63643664,"(41.695615506, -87.636436642)"
